geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
United States,Total,01000US,1,324697795,0,251268405,7987,302533815,148586,230959790,142262
United States,Not Hispanic or Latino,01000US,2,266218425,2120,211245685,7075,256332945,58422,202353350,55146
United States,American Indian or Alaska Native Alone,01000US,3,2174630,8837,1608795,6213,2162625,8645,1597975,6150
United States,Asian Alone,01000US,4,17930445,26383,14419705,13334,12991110,25640,9940500,21299
United States,Black or African American Alone,01000US,5,40247615,39157,30317035,18204,38658365,35594,28930220,19144
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,553315,4453,418265,2857,474770,4422,349015,3449
United States,White Alone,01000US,7,197659400,1625,160300090,1384,194593660,25097,157517975,20989
United States,American Indian or Alaska Native and White,01000US,8,1540040,8978,1149865,6879,1536375,8977,1146385,6825
United States,Asian and White,01000US,9,2088240,25155,1075085,13396,1960070,25099,975035,13080
United States,Black or African American and White,01000US,10,2472410,30082,964330,13620,2449585,30217,944935,13635
United States,American Indian or Alaska Native and Black or African American,01000US,11,282500,5770,212995,3975,281035,5786,211730,3974
United States,Remainder of Two or More Race Responses,01000US,12,1269830,15929,779520,9809,1225345,15963,739585,9744
United States,Hispanic or Latino,01000US,13,58479370,2114,40022720,2841,46200870,101641,28606440,96392
